href	user	timestamp	text	replies	reposts	likes	views
/AleJees/status/1783807927264112962	Ndamar Kanginan	2024-04-26T10:38:46.000Z	raperlu nyalahke wasit. maine yo koyo ra karep menang ngono. gathel.	8	13	19	2324
/MafiaWasit/status/1783876088911065452	Komisi Wasit	2024-04-26T15:09:37.000Z	Salam untuk Bung Towel	34	229	654	71024
/idextratime/status/1783774930691367150	Extra Time Indonesia	2024-04-26T08:27:39.000Z	jangan lupa selain wasit utama Shaun Evans, juga ada wasit VAR Ahmed Eisa Darwish & Katherine Jacewicz, yang juga turut membantu timnas Indonesia dengan kejeliannya pagi tadi 	59	244	3371	104841
/its_reeeeee/status/1783790343894499830	rere	2024-04-26T09:28:53.000Z	kondisi trkini gw jd wasit	0	0	0	151
/flowerish08/status/1783660463005573388	Bunga  (inactive partly, read pinned tweet)	2024-04-26T00:52:47.000Z	Kayaknya Sonny kudu bikin juga masterclass manajemen emosi biar nggak mudah marah saat diperlakukan tidak sesuai ekspektasi  oleh wasit atau lawan 	1	0	0	60
/MafiaWasit/status/1783749258920984629	Komisi Wasit	2024-04-26T06:45:38.000Z	Dear Kemenpora,\n\nDaripada ngasih anggaran ke Ormas ga jelas mending kasih lah anggaran kepeMUdaan ke Karangtaruna di kampung-kampung untuk bikin Nobar yang aman dan ga terbang kayak begini..\n\nKan ada tuh Penyerapan Anggaran Bantuan kegiatan PeMUda Anti Tawuran, kasih aja ke sini.	12	54	244	44905
/MafiaWasit/status/1784001689714041132	Komisi Wasit	2024-04-26T23:28:42.000Z	ini juga ga hafal dengan nama penentu kemenangan Timnas, lebih kenal Jijah daripada bojone..	5	63	261	46291
/idextratime/status/1783969433876349203	Extra Time Indonesia	2024-04-26T21:20:32.000Z	 “Saya tidak tahu apa yang akan terjadi (jika terjadi) di Liga Champions... tapi saya rasa mereka (wasit) tidak akan meniup peluit pelanggaran seperti itu.” \n\n– Takefusa Kubo, tentang golnya ke gawang Real Madrid yang dianulir akibat foul dahulu	75	33	544	123755
/MafiaWasit/status/1783682939890581582	Komisi Wasit	2024-04-26T02:22:06.000Z	Pilih Turuk, ora meksiko…	8	16	57	23196
/idextratime/status/1783679041633190026	Extra Time Indonesia	2024-04-26T02:06:37.000Z	untung banget wasit Shaun Evans asal Australia ini jeli banget minta cek VAR buat tendang ulang Justin Hubner \n\nhampir aja menangis banjir kesedihan subuh pagi 	105	374	5596	259243
/stilleto_still/status/1783891670846820594	name cannot be blank	2024-04-26T16:11:32.000Z	bukan handuk, tapi sjw & buzzer 01 & 03 kepanasan klo timnas menang, krn gapunya kesempatan buat fafifu sambil ngaduk tai lg. klo gak percaya kmrn mrk merengek cocoklogi wasit pas vs qatar dgn hakim mk 	3	4	14	1283
/MafiaWasit/status/1783881872952721578	Komisi Wasit	2024-04-26T15:32:36.000Z	Ketika Timnas Menang, apapun kita berikan sebagai tanda syukur 	15	54	315	53276
/MafiaWasit/status/1784000388473205017	Komisi Wasit	2024-04-26T23:23:32.000Z	Panas kalungan Persita mas 	15	29	196	44791
/MafiaWasit/status/1783738191297773959	Komisi Wasit	2024-04-26T06:01:39.000Z	Disaat kota dan Kabupaten lain ketularan Sala, Mboyolali malah ga ada tanda-tanda pergerakan nyenengke wargane sama sekali.\n\nPadahal anggaran Nobar Timnas itu MUrah lho, dan efektif untuk persiapan Pilkada 2024.	87	75	411	180106
/suga4447/status/1783789079030870154	Mukidi	2024-04-26T09:23:52.000Z	https://bola.tempo.co/read/1860949/7-drama-di-laga-timnas-u-23-indonesia-vs-korea-selatan-kartu-merah-hingga-gol-dianulir-var…\n\nKok ga ada yg nyalahin wasit ya 	0	0	0	32
/BORAMngen/status/1783700127443747221	Ayecha  ts	2024-04-26T03:30:24.000Z	olahraga kasur [jadi wasit]	1	0	0	22
/MafiaWasit/status/1783860703704588312	Komisi Wasit	2024-04-26T14:08:28.000Z	Katanya pamit pulang karena bininya lahiran, bikin Persis Sala ga pernah menang lagi.\n\nini malah pemanasan	14	12	468	100092
/MafiaWasit/status/1783716776523747533	Komisi Wasit	2024-04-26T04:36:34.000Z	MUkanya dirusak Watermark segede gaban	17	26	258	29366
/stronggos/status/1783840647906300418	iftitahwegahwaras	2024-04-26T12:48:47.000Z	wes sue banget ra ngechant pie main e kok koyo ngene, wasit e lonte, bis e diobong sekaline ngechant mneh rasane geting anyel kuciwo gelo bgt anjing	0	0	0	64
/pitraaaaasyu/status/1783845775346418123	jidaaannn	2024-04-26T13:09:09.000Z	kalo wasit wwe kaya si decul yg satu itu mau pindah hobi ke smack down aja deh	0	0	0	19
/MafiaWasit/status/1783889988779962583	Komisi Wasit	2024-04-26T16:04:51.000Z	Arhan kenapa bang?\n\nLanjutkan dong…\n\nKenapa si Arhan?	7	6	163	31600
/MafiaWasit/status/1783878889359761835	Komisi Wasit	2024-04-26T15:20:44.000Z	Cahaya dari Proyektor sampai kalah oleh Cahaya dari Ilahi \n\nUntung Cahaya Arhan tetep bisa bawa Indonesia menang atas Korsel	3	25	178	39349
/MafiaWasit/status/1783766568037724615	Komisi Wasit	2024-04-26T07:54:25.000Z	Saran untuk Persis, sama-sama ga ada penonton mending nyewa Stadion Gelora Merdeka Jombor aja. Lebih MUrah dari Manahan.. \n\nDaripada udah sewa mahal tapi Persita serasa main di kandang sendiri karena stadion sepi.	38	11	192	50664
/MafiaWasit/status/1783742505345061018	Komisi Wasit	2024-04-26T06:18:48.000Z	Ah mending nobar #TimnasDay nang Borjo, Warkop dan Pos Satpam lah daripada Nobar yang diadakan Politikus jelang Pilkada	5	15	90	27040
/MafiaWasit/status/1783862692975186332	Komisi Wasit	2024-04-26T14:16:23.000Z	Masih gayeng SUporter Indonesia dibanding SUporter Uzbek	5	4	61	23133
/MafiaWasit/status/1783872514982400026	Komisi Wasit	2024-04-26T14:55:24.000Z	Kalian bisa santai ga sih nanggapi Bung Towel?\n\nSTY aja lho sesantai ini, sambil minum degan!\n\nNegara Demokrasi tanpa Oposisi itu bakal cepet hancur, begitupun Timnas tanpa hatters.	28	79	169	40137
/MafiaWasit/status/1783796733325332760	Komisi Wasit	2024-04-26T09:54:17.000Z	FT: PSS & RANS Sleman keringat dingin	145	95	943	171717
/zuebex/status/1783786272382919036	Akhmad Subiyanto	2024-04-26T09:12:43.000Z	Bedanya.. Italia dicurangi banget sama wasit bangsat . Trs sepak bola bagi Italia sdh jd sebuah ego dan saat itu Korea msh dipandang sebelah mata sama negara2 Eropa. \nPersamaan nya untuk level Asia, Korea merasa ego lebih tinggi dan Timnas kita msh dipandang sebelah mata jg.	4	0	32	14102
/blueechaa/status/1783794893414142131	Jiya  k/ia	2024-04-26T09:46:58.000Z	capek (seru)  banget jadi wasit pertarungan sepupu gua vs emaknya	0	1	0	78
/sadammalik_25/status/1783679255706206329	Negara Jan Etes	2024-04-26T02:07:28.000Z	Alhandulillah menang,walopun di "bantu" wasit dikit	0	0	0	11
/masPLUNTOS/status/1783755795043393952	PLUNTOS	2024-04-26T07:11:36.000Z	Wasit kelas dunia	0	0	0	18
/akbar_rico000/status/1783822299881517136	rabka	2024-04-26T11:35:52.000Z	Wasit disuap matine cepet	0	0	0	60
/raihansn_/status/1783839882630304024	rhn	2024-04-26T12:45:44.000Z	Naturalisasi wasit sisan soale bodo-bodo wasit kene.	0	0	0	114
/vian_sukamoto/status/1783662330729136376	vian suka moto	2024-04-26T01:00:13.000Z	kaya waktu itu MU imbang. wasit niup peluit.\neh g tau nya dpt pinalti	0	0	0	830
/kejuus/status/1783942805712167397	kejuus	2024-04-26T19:34:43.000Z	WASIT NGENTOT DIEM DOANV ANJING	1	0	0	223
/mellifelis/status/1783807432919285959	zi.	2024-04-26T10:36:48.000Z	gene wasit	0	0	0	110
/jilimbing/status/1783961081020641454	Erlangga Feriansyah	2024-04-26T20:47:20.000Z	Wasit jelek	0	0	0	3
/RM5_bellingham/status/1783966523574640693	lermin fopez	2024-04-26T21:08:58.000Z	game asu + wasit kocak..	0	0	1	204
/winandayuditia/status/1783719596689961330	YUDITIA WINANDA 	2024-04-26T04:47:46.000Z	Goal Muntari ( pemain lo ) ga disahkan wasit, yang mana tim lo kehilangan scudetto dan dominasi juve dimulai, design moratti?	2	0	3	525
/MafiaWasit/status/1783773786707464548	Komisi Wasit	2024-04-26T08:23:06.000Z	Hassan ke @PSSleman \n\nPanik kau dek?	14	8	117	46420
/MafiaWasit/status/1783715758524207438	Komisi Wasit	2024-04-26T04:32:31.000Z	Kalau cuma lawan Uzbek ga usah takut, banyak warga negara mereka yang menggantungkan hidupnya dari bekerja di Mangga Besar.\n\nPasti akan pilih kalah mereka daripada dilarang menari di Mangga Besar dan sekitarnya.	137	206	1072	142618
/darimatagalih/status/1783700598237602034	Galih Ahmad Dinata	2024-04-26T03:32:16.000Z	Tolong Pak Erick Tohir tolong wasit yang semalem di naturalisasi.	0	0	0	32
/MirzaArserio/status/1783726550975918153	Mirza Arserio	2024-04-26T05:15:24.000Z	dan terima kasih juga sama wasit yg udah adil bgt mau ngecek² var terus tiap ada pelanggaran	0	0	0	15
/ridhosa2/status/1783753416067662316	ridhosa	2024-04-26T07:02:09.000Z	Tidak ada yg salah dengan wasit.kita bisa lihat sendiri.	0	0	0	6
/TopanTj/status/1783773424965619966	Topan Tj	2024-04-26T08:21:40.000Z	Wkwkwkk... makanya Prof, percaya keajaiban  Wasit yg kmr sangat jeli dn sanggup kerjasama dg sangat baik dg asisten2 di ruang VAR. Gila banget dramanya. Drakor ya Hasto aja kalah seru 	0	2	10	4034
/MafiaWasit/status/1783744307226366333	Komisi Wasit	2024-04-26T06:25:57.000Z	Ada yang nobar Persis vs Persita di Sleman ga?	2	1	6	14535
/EvansDW_69/status/1783690182459559974	Evans D. Wijaya	2024-04-26T02:50:53.000Z	Wasit idola bobotoh yg akan slalu dikenang	0	0	0	127
/ddonnnnnnnn/status/1783796986376040954	donnnn	2024-04-26T09:55:17.000Z	wasit kontoolll tunjukan manukmu teeee	0	0	0	99
/Radoin28556249/status/1783949518616363101	Radoin	2024-04-26T20:01:24.000Z	jangan pernah ngeremehin siapapun.. indo masih bukan apa apa dimata dunia sebelum semua usaha keras ini, meski sudah seperti sekarang pun indo masih banyak missnya kita beruntung bisa menang lawan Macan Asia Korsel dua kali Timnas terbantu kebijakan Wasit yang jeli.	1	1	32	2339
/Kudabajingan/status/1783712833047564324	Kudabajingan	2024-04-26T04:20:53.000Z	Makasih wasit baik hatiii\n\nJoin guys, rejeki\nhttps://twitter.com/Kudabajingan/status/1783677661367480442?t=Vsp3NgRAkY2dOyoV0_t1FA&s=19…	0	1	3	12125
/abindragao/status/1783706784097837254	Abindra Soemali	2024-04-26T03:56:51.000Z	Beda hari\nBera venue\nBeda wasit\n\nSame old result for the Lakers v Nuggets.	1	1	1	239
/xyesssme/status/1783802322658992297		2024-04-26T10:16:29.000Z	Qatar Udah terlanjur maluuu viral bayar wasit\nSemua negara dah tau\nBahkan jp pas ditanya sebelum lawan qatar bilang cuma khawatir sama wasitnya doang wkwkwk	0	1	2	400
/wuuuzzuup/status/1783751448809050486	fixciiii	2024-04-26T06:54:20.000Z	mo sungkemm banyak banyakk buat wasit hari iniiiiiii	0	0	0	3
/SatyaPutra53806/status/1783843086592094226	Satya Putra Perkasa	2024-04-26T12:58:28.000Z	Kalau wasit ini jadi hakim di wakanda bisa 90 persen hakim yang ada diberhentikan semua	0	1	4	308
/mooilife_/status/1783808102296686806	Ul2	2024-04-26T10:39:27.000Z	Wasit	0	0	0	8
/butterscooths/status/1783658226971734244	alena	2024-04-26T00:43:54.000Z	bye bye wasit nasrullo  udah dibela mati-matian eh ga lolos, fufufu	0	0	0	103
/grandhiagil/status/1783678319659241628	Grandhia Agil Patria	2024-04-26T02:03:45.000Z	Setelah tak pikir", jgn lupa mengucapkan terimakasih ke om dan tante wasit yg bertugas tdi ya lur.	0	0	0	43
/crepzzzzz/status/1783871930766156239	Crepzzzzz	2024-04-26T14:53:05.000Z	Wasit bekerja keras di pertandingan ini	0	0	1	718
/fourteenjulys/status/1783943255169651142	✮⋆˙	2024-04-26T19:36:30.000Z	ditolong wasit 	0	0	0	4
/MafiaWasit/status/1783803845791089021	Komisi Wasit	2024-04-26T10:22:32.000Z	Zona Degradasi di Liga 1 inilah kenapa FIFA membikin aturan atau regulasi melarang adanya cross ownership dalam kepemilikan klub dalam satu kompetisi.\n\nTapi au ah, EXCO Federasinya aja malah punya 3 klub dalam satu kompetisi yang sama.	43	218	1380	149751
/Lutfi_Jak28/status/1783655365957357713	Lutfi Arie Ramdhan	2024-04-26T00:32:32.000Z	Wakakaka tapi di belahan kota sana ada yg trauma dgn wasit ini. 	0	0	0	12
/Teumquinnn/status/1783881446639521798	Teum	2024-04-26T15:30:54.000Z	Yang main Arab sama Uzbek yg cape tim medis, yang batin wasit sama komentator	0	0	0	32
